prix,ville,chambres,salledebain,secteur,salons,etage,surface,prix_m2
1450000.0,Casablanca,3.0,2.0,oulfa,1.0,4.0,119.0,12184.873949579833
2800000.0,Casablanca,3.0,2.0,racine,2.0,2.0,145.0,19310.344827586207
1200000.0,Casablanca,1.0,1.0,les princesses,1.0,1.0,58.0,20689.655172413793
560000.0,Kénitra,2.0,2.0,autre secteur,2.0,1.0,84.0,6666.666666666667
820000.0,Casablanca,1.0,1.0,beausejour,1.0,1.0,36.0,22777.777777777777
820000.0,Casablanca,1.0,1.0,beausejour,1.0,1.0,36.0,22777.777777777777
360000.0,Casablanca,2.0,2.0,oulfa,1.0,4.0,50.0,7200.0
2000000.0,Casablanca,3.0,2.0,val fleuri,1.0,2.0,143.0,13986.013986013986
580000.0,Casablanca,2.0,1.0,errahma,1.0,3.0,77.0,7532.467532467533
850000.0,Tanger,2.0,1.0,tanja balia,1.0,3.0,76.0,11184.21052631579
620000.0,Mohammedia,2.0,2.0,centre ville,1.0,2.0,72.0,8611.111111111111
920000.0,Casablanca,1.0,2.0,quartier des hopitaux,1.0,2.0,51.0,18039.21568627451
1430000.0,Casablanca,3.0,2.0,abdelmoumen,2.0,4.0,115.0,12434.782608695652
1300000.0,Marrakech,3.0,2.0,gueliz,1.0,2.0,109.0,11926.605504587156
370000.0,Marrakech,3.0,2.0,azzouzia,1.0,2.0,72.0,5138.888888888889
1650000.0,Marrakech,1.0,2.0,gueliz,1.0,1.0,111.0,14864.864864864865
465000.0,Casablanca,2.0,1.0,sidi maarouf,1.0,1.0,50.0,9300.0
2800000.0,Agadir,2.0,2.0,marina,1.0,2.0,106.0,26415.094339622643
1000000.0,Marrakech,2.0,2.0,mabrouka,1.0,3.0,79.0,12658.227848101265
460000.0,Tanger,2.0,1.0,tanja balia,1.0,3.0,54.0,8518.518518518518
540000.0,Marrakech,3.0,1.0,m'hamid,1.0,1.0,70.0,7714.285714285715
1390000.0,Casablanca,2.0,1.0,bachkou,1.0,5.0,105.0,13238.095238095239
550000.0,Casablanca,2.0,1.0,ain sebaa,2.0,3.0,67.0,8208.955223880597
