prix,ville,chambres,salledebain,secteur,salons,etage,surface,prix_m2
1000.0,Marrakech,2.0,2.0,gueliz,1.0,2.0,100.0,10.0
9000.0,Casablanca,2.0,1.0,abdelmoumen,1.0,5.0,70.0,128.57142857142858
5200.0,Salé,3.0,2.0,hay chmaou,2.0,3.0,125.0,41.6
7500.0,Casablanca,1.0,1.0,oasis,1.0,3.0,59.0,127.11864406779661
6000.0,الدار البيضاء,3.0,2.0,belvedere,1.0,1.0,18.0,333.3333333333333
5000.0,Casablanca,1.0,1.0,oulfa,1.0,4.0,52.0,96.15384615384616
3500.0,Mohammedia,2.0,1.0,autre secteur,1.0,1.0,73.0,47.945205479452056
4500.0,Casablanca,1.0,1.0,belvedere,1.0,3.0,52.0,86.53846153846153
5000.0,Casablanca,2.0,1.0,californie,1.0,4.0,70.0,71.42857142857143
1000.0,Marrakech,2.0,2.0,gueliz,1.0,2.0,100.0,10.0
9000.0,Casablanca,2.0,1.0,abdelmoumen,1.0,5.0,70.0,128.57142857142858
5200.0,Salé,3.0,2.0,hay chmaou,2.0,3.0,125.0,41.6
9000.0,Casablanca,1.0,2.0,casablanca finance city,1.0,2.0,70.0,128.57142857142858
5800.0,Mohammedia,2.0,2.0,mimosas,1.0,2.0,85.0,68.23529411764706
5000.0,Casablanca,2.0,2.0,californie,1.0,1.0,87.0,57.47126436781609
4500.0,Casablanca,2.0,2.0,bourgogne,1.0,5.0,72.0,62.5
4500.0,Casablanca,2.0,2.0,californie,1.0,1.0,90.0,50.0
5000.0,Casablanca,1.0,1.0,quartier des hopitaux,1.0,3.0,55.0,90.9090909090909
6500.0,Casablanca,1.0,1.0,maarif,1.0,5.0,55.0,118.18181818181819
6500.0,Casablanca,2.0,1.0,sidi belyout,1.0,2.0,60.0,108.33333333333333
4000.0,Mohammedia,2.0,1.0,autre secteur,2.0,4.0,86.0,46.51162790697674
6000.0,Casablanca,1.0,2.0,oulfa,1.0,3.0,54.0,111.11111111111111
4300.0,Rabat,1.0,1.0,agdal,0.0,2.0,30.0,143.33333333333334
4000.0,Casablanca,1.0,1.0,sidi maarouf,1.0,1.0,50.0,80.0
5000.0,Casablanca,2.0,1.0,centre ville,1.0,1.0,70.0,71.42857142857143
7000.0,Casablanca,3.0,1.0,abdelmoumen,0.0,2.0,80.0,87.5
6500.0,Mohammedia,2.0,1.0,quartier du parc,1.0,1.0,65.0,100.0
9200.0,Casablanca,3.0,2.0,racine,1.0,6.0,86.0,106.97674418604652
4500.0,Casablanca,1.0,1.0,belvedere,1.0,2.0,50.0,90.0
7500.0,Casablanca,1.0,1.0,anfa,1.0,4.0,80.0,93.75
1000.0,Temara,2.0,2.0,wifak,1.0,2.0,65.0,15.384615384615385
6000.0,Mohammedia,2.0,1.0,la siesta,1.0,3.0,89.0,67.41573033707866
5500.0,Mohammedia,2.0,1.0,mimosas,1.0,2.0,90.0,61.111111111111114
7000.0,El Mansouria,3.0,2.0,toute la ville,1.0,1.0,170.0,41.1764705882353
4000.0,Marrakech,1.0,2.0,majorelle,1.0,3.0,50.0,80.0
5500.0,Casablanca,1.0,1.0,quartier des hopitaux,1.0,5.0,55.0,100.0
6000.0,Mohammedia,2.0,1.0,la siesta,1.0,3.0,89.0,67.41573033707866
5500.0,Mohammedia,2.0,1.0,mimosas,1.0,2.0,90.0,61.111111111111114
7000.0,El Mansouria,3.0,2.0,toute la ville,1.0,1.0,170.0,41.1764705882353
4000.0,Marrakech,1.0,2.0,majorelle,1.0,3.0,50.0,80.0
5500.0,Casablanca,1.0,1.0,quartier des hopitaux,1.0,5.0,55.0,100.0
6500.0,El Mansouria,2.0,1.0,toute la ville,1.0,1.0,95.0,68.42105263157895
15000.0,Marrakech,2.0,2.0,gueliz,1.0,4.0,101.0,148.5148514851485
2800.0,Berrechid,2.0,2.0,toute la ville,1.0,3.0,70.0,40.0
6500.0,Casablanca,2.0,2.0,2 mars,1.0,2.0,90.0,72.22222222222223
6000.0,El Mansouria,3.0,2.0,toute la ville,1.0,1.0,98.0,61.224489795918366
5000.0,Casablanca,2.0,1.0,maarif,1.0,1.0,70.0,71.42857142857143
2509.0,Berrechid,3.0,1.0,toute la ville,1.0,1.0,90.0,27.877777777777776
6000.0,Marrakech,2.0,2.0,hay charaf,1.0,4.0,100.0,60.0
8000.0,Casablanca,1.0,1.0,gauthier,1.0,3.0,55.0,145.45454545454547
4650.0,Dar Bouazza,2.0,2.0,toute la ville,1.0,2.0,82.0,56.707317073170735
4250.0,Tanger,2.0,1.0,autre secteur,2.0,4.0,80.0,53.125
5500.0,Casablanca,1.0,1.0,sidi maarouf,1.0,3.0,40.0,137.5
2500.0,Bouskoura,2.0,1.0,bouskoura centre,1.0,4.0,60.0,41.666666666666664
3500.0,Casablanca,3.0,1.0,ain chock,1.0,1.0,100.0,35.0
13000.0,Rabat,2.0,2.0,agdal,1.0,1.0,115.0,113.04347826086956
4000.0,Casablanca,1.0,1.0,maarif,0.0,3.0,50.0,80.0
10500.0,Casablanca,1.0,1.0,casablanca finance city,1.0,3.0,80.0,131.25
6000.0,Rabat,2.0,1.0,agdal,1.0,5.0,80.0,75.0
2400.0,Agadir,1.0,1.0,hay mohammadi,1.0,3.0,80.0,30.0
8500.0,Mohammedia,2.0,1.0,quartier du parc,1.0,1.0,106.0,80.18867924528301
12000.0,Marrakech,2.0,1.0,route de casablanca,1.0,1.0,75.0,160.0
8500.0,Marrakech,2.0,2.0,hivernage,1.0,1.0,90.0,94.44444444444444
6000.0,Mohammedia,2.0,1.0,quartier du parc,1.0,4.0,66.0,90.9090909090909
12000.0,Marrakech,2.0,2.0,agdal,1.0,2.0,72.0,166.66666666666666
4000.0,Berrechid,2.0,1.0,toute la ville,1.0,1.0,75.0,53.333333333333336
8500.0,Rabat,2.0,2.0,hay riad,1.0,5.0,95.0,89.47368421052632
7500.0,Marrakech,2.0,1.0,palmeraie,1.0,1.0,82.0,91.46341463414635
8000.0,El Mansouria,2.0,1.0,toute la ville,2.0,1.0,95.0,84.21052631578948
17000.0,Casablanca,3.0,3.0,racine,2.0,2.0,180.0,94.44444444444444
7500.0,Casablanca,3.0,2.0,riviera,1.0,3.0,120.0,62.5
3200.0,Agadir,1.0,1.0,hay mohammadi,1.0,3.0,45.0,71.11111111111111
8500.0,Marrakech,2.0,1.0,route de safi,1.0,5.0,79.0,107.59493670886076
6000.0,Casablanca,2.0,2.0,belvedere,2.0,3.0,80.0,75.0
6000.0,Casablanca,2.0,2.0,c.i.l,1.0,5.0,78.0,76.92307692307692
4000.0,Casablanca,2.0,1.0,ain borja,1.0,4.0,70.0,57.142857142857146
10500.0,Casablanca,2.0,2.0,triangle d'or,2.0,3.0,120.0,87.5
6000.0,Rabat,1.0,1.0,agdal,1.0,4.0,30.0,200.0
11000.0,Rabat,3.0,3.0,aviation,2.0,2.0,150.0,73.33333333333333
4000.0,Berrechid,2.0,1.0,toute la ville,1.0,1.0,75.0,53.333333333333336
7500.0,Marrakech,2.0,1.0,palmeraie,1.0,1.0,82.0,91.46341463414635
8000.0,El Mansouria,2.0,1.0,toute la ville,2.0,1.0,95.0,84.21052631578948
17000.0,Casablanca,3.0,3.0,racine,2.0,2.0,180.0,94.44444444444444
